Index,Species,Type1,Type2,Ability1,Ability2,Ability3,level,base_experience,HP,Attack,Defence,Sp.Attack,Sp.Defence,Speed,Total,Weight,Height,Seed Type,Egg Type1,Egg Type2,Moves
1,Bulbasaur,Grass,Poison,Overgrow,NULL,Chlorophyll,50,64,45,49,49,65,65,45,318,15.2 lbs.,"2'04""",Seed Pokémon,Monster,Grass,"razor-wind, swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, sludge, skull-bash, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, grass-whistle, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze"
2,Ivysaur,Grass,Poison,Overgrow,NULL,Chlorophyll,50,142,60,62,63,80,80,60,405,28.7 lbs.,"3'03""",Seed Pokémon,Monster,Grass,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze"
3,Venusaur,Grass,Poison,Overgrow,NULL,Chlorophyll,50,263,80,82,83,100,100,80,525,220.5 lbs.,"6'07""",Seed Pokémon,Monster,Grass,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, hyper-beam, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, earthquake, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, scary-face, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, block, frenzy-plant, magical-leaf, natural-gift, worry-seed, poison-jab, seed-bomb, energy-ball, earth-power, giga-impact, rock-climb, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, bulldoze, work-up, petal-blizzard, grassy-terrain, confide, stomping-tantrum, grassy-glide, terrain-pulse, tera-blast, trailblaze"
4,Charmander,Fire,NULL,Blaze,NULL,Solar Power,50,62,39,52,43,60,50,65,309,18.7 lbs.,"2'00""",Lizard Pokémon,Monster,Dragon,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare"
5,Charmeleon,Fire,NULL,Blaze,NULL,Solar Power,50,142,58,64,58,80,65,80,405,41.9 lbs.,"3'07""",Flame Pokémon,Monster,Dragon,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare"
6,Charizard,Fire,Flying,Blaze,NULL,Solar Power,50,267,78,84,78,109,85,100,534,199.5 lbs.,"5'07""",Flame Pokémon,Monster,Dragon,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, fly, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, dragon-rage, fire-spin, earthquake, fissure, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, steel-wing, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, twister, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, blaze-kick, blast-burn, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, roost, natural-gift, tailwind, fling, flare-blitz, air-slash, dragon-pulse, dragon-rush, focus-blast, giga-impact, shadow-claw, fire-fang, defog, captivate, ominous-wind, hone-claws, flame-burst, flame-charge, round, echoed-voice, sky-drop, incinerate, acrobatics, inferno, fire-pledge, bulldoze, dragon-tail, work-up, heat-crash, hurricane, confide, mystical-fire, power-up-punch, brutal-swing, breaking-swipe, scale-shot, dual-wingbeat, scorching-sands, tera-blast, dragon-cheer, temper-flare"
7,Squirtle,Water,NULL,Torrent,NULL,Rain Dish,50,63,44,48,65,50,64,43,314,19.8 lbs.,"1'08""",Tiny Turtle Pokémon,Monster,Water 1,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, confusion, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, foresight, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, follow-me, helping-hand, brick-break, yawn, refresh, secret-power, dive, mud-sport, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water"
8,Wartortle,Water,NULL,Torrent,NULL,Rain Dish,50,142,59,63,80,65,80,58,405,49.6 lbs.,"3'03""",Turtle Pokémon,Monster,Water 1,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water"
9,Blastoise,Water,NULL,Torrent,NULL,Rain Dish,50,265,79,83,100,85,105,78,530,188.5 lbs.,"5'03""",Shellfish Pokémon,Monster,Water 1,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, crunch, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, hydro-cannon, weather-ball, rock-tomb, water-spout, signal-beam, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, dark-pulse, aqua-tail, dragon-pulse, focus-blast, giga-impact, avalanche, zen-headbutt, flash-cannon, rock-climb, captivate, aqua-jet, smack-down, round, scald, shell-smash, water-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch, liquidation, body-press, life-dew, terrain-pulse, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water"
10,Caterpie,Bug,NULL,Shield Dust,NULL,Run Away,50,39,45,30,35,20,20,45,195,6.4 lbs.,"1'00""",Worm Pokémon,Bug,NULL,"tackle, string-shot, snore, bug-bite, electroweb"
